"","Cluster_Num","One","Neg_One"
"319","5",321,2808
"320","6",299,3371
"321","7",167,3441
"322","8",124,3479
"323","9",118,3749
"324","10",58,3691
"325","11",69,3817
"326","12",48,3912
"327","13",66,3940
"328","14",68,4091
"329","15",74,4148
"330","16",55,4176
"331","2",680,465
"332","3",491,1949
"333","4",208,2462
"334","5",123,2579
"335","6",96,2782
"336","7",97,3011
"337","8",86,3241
"338","9",87,3472
"339","10",95,3599
"340","11",68,3639
"341","12",63,3683
"342","13",57,3747
"343","14",68,3893
"344","15",70,3970
"345","16",74,4044
"346","2",1639,1648
"347","3",440,1951
"348","4",358,2546
"349","5",278,2846
"350","6",218,3226
"351","7",208,3298
"352","8",168,3493
"353","9",94,3617
"354","10",81,3717
"355","11",57,3786
"356","12",58,3874
"357","13",47,3974
"358","14",50,4026
"359","15",48,4088
"360","16",48,4140
"361","2",1724,1753
"362","3",400,1986
"363","4",297,2387
"364","5",212,2873
"365","6",159,3116
"366","7",120,3333
"367","8",69,3399
"368","9",58,3542
"369","10",67,3668
"370","11",66,3728
"371","12",55,3868
"372","13",69,3959
"373","14",64,4103
"374","15",45,4166
"375","16",48,4198
"376","2",1475,1172
"377","3",495,1668
"378","4",238,1991
"379","5",189,2473
"380","6",190,2848
"381","7",144,3077
"382","8",163,3282
"383","9",192,3599
"384","10",164,3721
"385","11",141,3887
"386","12",135,4106
"387","13",110,4118
"388","14",96,4186
"389","15",61,4190
"390","16",74,4256
"391","2",1254,1223
"392","3",469,1855
"393","4",295,2296
"394","5",184,2496
"395","6",152,2939
"396","7",161,3403
"397","8",100,3526
"398","9",115,3620
"399","10",88,3677
"400","11",70,3744
"401","12",68,3813
"402","13",69,3977
"403","14",61,4052
"404","15",60,4109
"405","16",61,4154
"406","2",495,400
"407","3",330,1815
"408","4",200,2331
"409","5",224,2766
"410","6",133,3020
"411","7",135,3463
"412","8",112,3620
"413","9",135,3806
"414","10",101,3717
"415","11",103,3810
"416","12",101,3958
"417","13",70,4006
"418","14",72,4069
"419","15",63,4119
"420","16",60,4201
"421","2",1757,1776
"422","3",348,1920
"423","4",455,2918
"424","5",152,2716
"425","6",109,2937
"426","7",96,3248
"427","8",86,3461
"428","9",90,3673
"429","10",94,3725
"430","11",68,3738
"431","12",45,3845
"432","13",65,3903
"433","14",55,3945
"434","15",70,4089
"435","16",48,4103
"436","2",1445,1197
"437","3",1429,3071
"438","4",187,2464
"439","5",224,2746
"440","6",164,2843
"441","7",124,3057
"442","8",133,3319
"443","9",135,3609
"444","10",118,3626
"445","11",118,3662
"446","12",123,3847
"447","13",115,3928
"448","14",112,3940
"449","15",110,4094
"450","16",85,4141
