"","Cluster_Num","One","Neg_One"
"319","5",329,3266
"320","6",238,3311
"321","7",211,3414
"322","8",150,3469
"323","9",139,3600
"324","10",144,3875
"325","11",107,3927
"326","12",86,4036
"327","13",83,4123
"328","14",88,4238
"329","15",87,4284
"330","16",76,4305
"331","2",913,929
"332","3",605,2240
"333","4",610,3009
"334","5",208,3097
"335","6",176,3217
"336","7",160,3418
"337","8",127,3708
"338","9",133,3877
"339","10",84,3892
"340","11",79,3997
"341","12",71,4115
"342","13",91,4181
"343","14",74,4197
"344","15",73,4245
"345","16",74,4318
"346","2",737,699
"347","3",377,1983
"348","4",271,2641
"349","5",166,2807
"350","6",286,3263
"351","7",153,3304
"352","8",157,3681
"353","9",127,3680
"354","10",100,3714
"355","11",120,3939
"356","12",97,4039
"357","13",93,4152
"358","14",85,4235
"359","15",86,4294
"360","16",80,4305
"361","2",576,571
"362","3",384,1897
"363","4",684,3172
"364","5",376,3325
"365","6",210,3342
"366","7",201,3436
"367","8",135,3713
"368","9",120,3749
"369","10",105,3843
"370","11",89,3977
"371","12",90,4037
"372","13",82,4067
"373","14",67,4177
"374","15",58,4275
"375","16",64,4331
"376","2",989,1007
"377","3",435,1839
"378","4",653,2786
"379","5",330,3362
"380","6",158,3305
"381","7",156,3385
"382","8",136,3623
"383","9",122,3735
"384","10",124,3837
"385","11",125,3957
"386","12",99,4039
"387","13",89,4068
"388","14",84,4179
"389","15",66,4196
"390","16",58,4268
"391","2",1409,1411
"392","3",488,1891
"393","4",669,3037
"394","5",370,3217
"395","6",187,3368
"396","7",151,3415
"397","8",144,3601
"398","9",86,3688
"399","10",66,3762
"400","11",57,3796
"401","12",64,3984
"402","13",75,4136
"403","14",74,4181
"404","15",69,4260
"405","16",67,4282
"406","2",1202,1175
"407","3",357,1808
"408","4",663,3143
"409","5",415,3371
"410","6",185,3396
"411","7",130,3547
"412","8",106,3646
"413","9",71,3741
"414","10",91,3861
"415","11",73,3915
"416","12",61,3974
"417","13",75,4069
"418","14",58,4103
"419","15",55,4211
"420","16",54,4278
"421","2",926,869
"422","3",579,1951
"423","4",791,3196
"424","5",388,3191
"425","6",188,3368
"426","7",150,3700
"427","8",116,3717
"428","9",86,3750
"429","10",80,3860
"430","11",62,3916
"431","12",65,4010
"432","13",65,4054
"433","14",63,4102
"434","15",60,4112
"435","16",63,4164
"436","2",701,710
"437","3",677,2301
"438","4",741,3233
"439","5",305,3164
"440","6",219,3307
"441","7",224,3512
"442","8",173,3737
"443","9",133,3886
"444","10",120,3965
"445","11",127,4011
"446","12",133,4085
"447","13",101,4219
"448","14",66,4203
"449","15",71,4255
"450","16",83,4347
