"","Cluster_Num","One","Neg_One"
"318","4",236,1963
"319","5",164,2404
"320","6",129,2899
"321","7",97,3065
"322","8",120,3337
"323","9",117,3419
"324","10",86,3573
"325","11",96,3783
"326","12",90,3916
"327","13",98,4027
"328","14",90,4092
"329","15",87,4155
"330","16",80,4222
"331","2",1361,1216
"332","3",338,1290
"333","4",149,1942
"334","5",165,2508
"335","6",189,2874
"336","7",70,2939
"337","8",88,3226
"338","9",86,3391
"339","10",96,3553
"340","11",92,3731
"341","12",93,3834
"342","13",101,3993
"343","14",98,4109
"344","15",78,4150
"345","16",66,4229
"346","2",978,827
"347","3",404,1433
"348","4",170,1862
"349","5",135,2288
"350","6",119,2634
"351","7",156,3159
"352","8",102,3346
"353","9",97,3439
"354","10",81,3542
"355","11",76,3692
"356","12",85,3827
"357","13",79,3943
"358","14",76,4041
"359","15",90,4148
"360","16",90,4240
"361","2",1175,967
"362","3",322,1389
"363","4",276,2306
"364","5",121,2542
"365","6",109,2886
"366","7",82,3071
"367","8",64,3284
"368","9",78,3353
"369","10",87,3550
"370","11",71,3625
"371","12",79,3763
"372","13",85,3939
"373","14",94,4067
"374","15",81,4088
"375","16",65,4134
"376","2",1427,1270
"377","3",329,1311
"378","4",294,2053
"379","5",119,2342
"380","6",139,2849
"381","7",84,3043
"382","8",78,3241
"383","9",88,3385
"384","10",99,3561
"385","11",102,3730
"386","12",79,3838
"387","13",71,3965
"388","14",62,4059
"389","15",71,4120
"390","16",73,4234
"391","2",1315,1229
"392","3",257,1307
"393","4",289,2046
"394","5",139,2393
"395","6",109,2799
"396","7",121,3182
"397","8",101,3344
"398","9",69,3369
"399","10",82,3576
"400","11",76,3716
"401","12",103,3802
"402","13",75,3905
"403","14",64,3994
"404","15",71,4053
"405","16",48,4085
"406","2",1579,1319
"407","3",379,1287
"408","4",216,1923
"409","5",238,2454
"410","6",103,2749
"411","7",109,3121
"412","8",88,3245
"413","9",80,3358
"414","10",69,3498
"415","11",64,3642
"416","12",77,3822
"417","13",62,3917
"418","14",59,3987
"419","15",58,4048
"420","16",53,4137
"421","2",1383,1219
"422","3",345,1375
"423","4",235,1927
"424","5",126,2404
"425","6",132,2850
"426","7",102,3142
"427","8",83,3217
"428","9",107,3467
"429","10",77,3550
"430","11",86,3689
"431","12",87,3853
"432","13",76,3954
"433","14",68,4042
"434","15",76,4103
"435","16",62,4165
"436","2",1069,1040
"437","3",439,1561
"438","4",148,1789
"439","5",182,2342
"440","6",148,2859
"441","7",97,3149
"442","8",122,3355
"443","9",94,3380
"444","10",65,3591
"445","11",75,3706
"446","12",82,3832
"447","13",90,3956
"448","14",82,4125
"449","15",64,4103
"450","16",75,4167
