"","p","n","n_resamples","prop_resample","runs","k","res"
"1",2,100,70,0.9,200,2,724.610292804327
"2",2,100,70,0.9,200,2,1654.56171504638
"3",2,100,70,0.9,200,2,1598.0859500684
"4",2,100,70,0.9,200,2,141.051153350506
"5",2,100,70,0.9,200,2,159.167617435788
"6",2,100,70,0.9,200,2,560.543852156621
"7",2,100,70,0.9,200,2,581.436119876629
"8",2,100,70,0.9,200,2,1410.1188086089
"9",2,100,70,0.9,200,2,1520.24104417278
"10",2,100,70,0.9,200,2,62.8807154198931
"11",2,100,70,0.9,200,2,212.995083554864
"12",2,100,70,0.9,200,2,971.882842607298
"13",2,100,70,0.9,200,2,321.387328810008
"14",2,100,70,0.9,200,2,1357.34491239951
"15",2,100,70,0.9,200,2,1607.81931821682
"16",2,100,70,0.9,200,2,673.165265784025
"17",2,100,70,0.9,200,2,248.407454443568
"18",2,100,70,0.9,200,2,524.419046423974
"19",2,100,70,0.9,200,2,290.942252147719
"20",2,100,70,0.9,200,2,896.663043809265
"21",2,100,70,0.9,200,2,1295.97290606959
"22",2,100,70,0.9,200,2,518.972416406303
"23",2,100,70,0.9,200,2,1659.87466715862
"24",2,100,70,0.9,200,2,168.737323076391
"25",2,100,70,0.9,200,2,758.639698195907
"26",2,100,70,0.9,200,2,795.847269158855
"27",2,100,70,0.9,200,2,309.332381461219
"28",2,100,70,0.9,200,2,318.025291318794
"29",2,100,70,0.9,200,2,1408.61610573124
"30",2,100,70,0.9,200,2,1260.36022129715
"31",2,100,70,0.9,200,2,1267.92640723758
"32",2,100,70,0.9,200,2,281.172689732885
"33",2,100,70,0.9,200,2,1672.26991020684
"34",2,100,70,0.9,200,2,1867.25400894034
"35",2,100,70,0.9,200,2,142.511060575045
"36",2,100,70,0.9,200,2,1220.81861514807
"37",2,100,70,0.9,200,2,1030.88703327373
"38",2,100,70,0.9,200,2,719.810689860246
"39",2,100,70,0.9,200,2,61.3371326639019
"40",2,100,70,0.9,200,2,1396.91880318291
"41",2,100,70,0.9,200,2,1094.11105009653
"42",2,100,70,0.9,200,2,1601.60299517192
"43",2,100,70,0.9,200,2,443.266544146932
"44",2,100,70,0.9,200,2,581.5608799765
"45",2,100,70,0.9,200,2,1005.96933683441
"46",2,100,70,0.9,200,2,1526.1195430776
"47",2,100,70,0.9,200,2,1229.41083837692
"48",2,100,70,0.9,200,2,1035.14897176105
"49",2,100,70,0.9,200,2,167.998964948194
"50",2,100,70,0.9,200,2,1617.88756362137
"51",2,100,70,0.9,200,2,712.905030086513
"52",2,100,70,0.9,200,2,586.420368871238
"53",2,100,70,0.9,200,2,1025.9002233247
"54",2,100,70,0.9,200,2,63.7587630144761
"55",2,100,70,0.9,200,2,974.073038520326
"56",2,100,70,0.9,200,2,654.538252035865
"57",2,100,70,0.9,200,2,743.899033839687
"58",2,100,70,0.9,200,2,1320.96397202405
"59",2,100,70,0.9,200,2,1870.57433842382
"60",2,100,70,0.9,200,2,202.678145400765
"61",2,100,70,0.9,200,2,163.718318467774
"62",2,100,70,0.9,200,2,495.429708111526
"63",2,100,70,0.9,200,2,1610.20694970953
"64",2,100,70,0.9,200,2,1088.29767823639
"65",2,100,70,0.9,200,2,1239.84562303308
"66",2,100,70,0.9,200,2,441.197392746676
"67",2,100,70,0.9,200,2,548.021106528503
"68",2,100,70,0.9,200,2,500.20635533725
"69",2,100,70,0.9,200,2,1328.30501736168
"70",2,100,70,0.9,200,2,965.066225909162
"71",2,100,70,0.9,200,2,1551.8544728037
"72",2,100,70,0.9,200,2,408.48761835858
"73",2,100,70,0.9,200,2,788.340778639827
"74",2,100,70,0.9,200,2,182.830008424661
"75",2,100,70,0.9,200,2,92.7048746718992
"76",2,100,70,0.9,200,2,1562.12943948339
"77",2,100,70,0.9,200,2,711.40815670293
"78",2,100,70,0.9,200,2,1142.29507203537
"79",2,100,70,0.9,200,2,1258.77772798118
"80",2,100,70,0.9,200,2,1310.04444697084
"81",2,100,70,0.9,200,2,521.69319400572
"82",2,100,70,0.9,200,2,161.615688431715
"83",2,100,70,0.9,200,2,1189.68334633547
"84",2,100,70,0.9,200,2,1060.31580989082
"85",2,100,70,0.9,200,2,13.7631838514757
"86",2,100,70,0.9,200,2,836.499835931554
"87",2,100,70,0.9,200,2,244.606581156951
"88",2,100,70,0.9,200,2,421.265273884626
"89",2,100,70,0.9,200,2,893.200466793425
"90",2,100,70,0.9,200,2,338.306417391397
"91",2,100,70,0.9,200,2,1048.78194345052
"92",2,100,70,0.9,200,2,1622.65051145319
"93",2,100,70,0.9,200,2,1112.16214048098
"94",2,100,70,0.9,200,2,947.105385039694
"95",2,100,70,0.9,200,2,812.02560187756
"96",2,100,70,0.9,200,2,314.558566714195
"97",2,100,70,0.9,200,2,1069.20198258266
"98",2,100,70,0.9,200,2,1559.1855519897
"99",2,100,70,0.9,200,2,1385.5437106887
"100",2,100,70,0.9,200,2,1387.80427976082
"101",2,100,70,0.9,200,2,308.21625640053
"102",2,100,70,0.9,200,2,1094.00563080857
"103",2,100,70,0.9,200,2,1623.78821751506
"104",2,100,70,0.9,200,2,872.673583408196
"105",2,100,70,0.9,200,2,1438.61214085534
"106",2,100,70,0.9,200,2,204.560258067302
"107",2,100,70,0.9,200,2,108.727355963493
"108",2,100,70,0.9,200,2,836.165348972207
"109",2,100,70,0.9,200,2,1686.83013325562
"110",2,100,70,0.9,200,2,1731.23179928239
"111",2,100,70,0.9,200,2,546.685866669917
"112",2,100,70,0.9,200,2,1365.944437043
"113",2,100,70,0.9,200,2,443.541581611522
"114",2,100,70,0.9,200,2,482.227164350214
"115",2,100,70,0.9,200,2,558.129773577138
"116",2,100,70,0.9,200,2,825.099291913045
"117",2,100,70,0.9,200,2,1851.2542339623
"118",2,100,70,0.9,200,2,450.593100333679
"119",2,100,70,0.9,200,2,348.941494182951
"120",2,100,70,0.9,200,2,630.567608552999
"121",2,100,70,0.9,200,2,1048.56335298283
"122",2,100,70,0.9,200,2,567.310130578931
"123",2,100,70,0.9,200,2,1279.4397276269
"124",2,100,70,0.9,200,2,261.791102009832
"125",2,100,70,0.9,200,2,1218.69337815962
"126",2,100,70,0.9,200,2,1416.09972427413
"127",2,100,70,0.9,200,2,1312.92618708713
"128",2,100,70,0.9,200,2,828.335417445321
"129",2,100,70,0.9,200,2,147.022253990772
"130",2,100,70,0.9,200,2,110.208209298905
"131",2,100,70,0.9,200,2,1620.59785692689
"132",2,100,70,0.9,200,2,1384.96543275308
"133",2,100,70,0.9,200,2,1647.99603926607
"134",2,100,70,0.9,200,2,472.262931142826
"135",2,100,70,0.9,200,2,221.114665195764
"136",2,100,70,0.9,200,2,375.124343590911
"137",2,100,70,0.9,200,2,214.769078408842
"138",2,100,70,0.9,200,2,292.953219415624
"139",2,100,70,0.9,200,2,183.980294104872
"140",2,100,70,0.9,200,2,776.65618652771
"141",2,100,70,0.9,200,2,469.135294918088
"142",2,100,70,0.9,200,2,1139.92504155225
"143",2,100,70,0.9,200,2,1029.517612467
"144",2,100,70,0.9,200,2,1088.56011256432
"145",2,100,70,0.9,200,2,1079.05299693717
"146",2,100,70,0.9,200,2,1411.33772841965
"147",2,100,70,0.9,200,2,1500.87784341906
"148",2,100,70,0.9,200,2,1618.18221757311
"149",2,100,70,0.9,200,2,1279.89332908348
"150",2,100,70,0.9,200,2,1851.57445882899
"151",2,100,70,0.9,200,2,617.995940006973
"152",2,100,70,0.9,200,2,1222.34502797189
"153",2,100,70,0.9,200,2,569.470174761904
"154",2,100,70,0.9,200,2,82.563868171724
"155",2,100,70,0.9,200,2,1311.12651975268
"156",2,100,70,0.9,200,2,431.423385066161
