"","p","n","n_resamples","prop_resample","runs","k","res"
"1",2,100,70,0.9,100,2,1852.39982833662
"2",2,100,70,0.9,100,2,1237.76958624786
"3",2,100,70,0.9,100,2,1845.00698408741
"4",2,100,70,0.9,100,2,1062.74548162596
"5",2,100,70,0.9,100,2,1103.3104440625
"6",2,100,70,0.9,100,2,190.767300424201
"7",2,100,70,0.9,100,2,656.984008774176
"8",2,100,70,0.9,100,2,1250.07201371682
"9",2,100,70,0.9,100,2,450.333433155683
"10",2,100,70,0.9,100,2,1151.41067541488
"11",2,100,70,0.9,100,2,1603.50935455083
"12",2,100,70,0.9,100,2,1199.03339535412
"13",2,100,70,0.9,100,2,1895.65643411613
"14",2,100,70,0.9,100,2,3.17045462225479
"15",2,100,70,0.9,100,2,1074.70024142658
"16",2,100,70,0.9,100,2,745.154295931951
"17",2,100,70,0.9,100,2,1978.78027722038
"18",2,100,70,0.9,100,2,2110.48061324751
"19",2,100,70,0.9,100,2,1161.08671636891
"20",2,100,70,0.9,100,2,1153.53876583726
"21",2,100,70,0.9,100,2,496.997861854838
"22",2,100,70,0.9,100,2,1787.02867120451
"23",2,100,70,0.9,100,2,390.040581036163
"24",2,100,70,0.9,100,2,1437.43260186396
"25",2,100,70,0.9,100,2,917.990289937791
"26",2,100,70,0.9,100,2,1026.20700398452
"27",2,100,70,0.9,100,2,1878.12776996177
"28",2,100,70,0.9,100,2,1382.4809773061
"29",2,100,70,0.9,100,2,1787.65573372445
"30",2,100,70,0.9,100,2,1846.24738859147
"31",2,100,70,0.9,100,2,225.039606594623
"32",2,100,70,0.9,100,2,337.240643468603
"33",2,100,70,0.9,100,2,307.546280115467
"34",2,100,70,0.9,100,2,1797.9238212087
"35",2,100,70,0.9,100,2,1439.31946712494
"36",2,100,70,0.9,100,2,1241.38909503798
"37",2,100,70,0.9,100,2,463.937339913548
"38",2,100,70,0.9,100,2,644.169480516362
"39",2,100,70,0.9,100,2,1626.79685850528
"40",2,100,70,0.9,100,2,628.090764496889
"41",2,100,70,0.9,100,2,1171.67403433563
"42",2,100,70,0.9,100,2,706.992951551377
"43",2,100,70,0.9,100,2,1588.77115451633
"44",2,100,70,0.9,100,2,1390.42683222061
"45",2,100,70,0.9,100,2,855.409792170239
"46",2,100,70,0.9,100,2,754.429465141059
"47",2,100,70,0.9,100,2,1188.72066032533
"48",2,100,70,0.9,100,2,124.592767595655
"49",2,100,70,0.9,100,2,398.047771522363
"50",2,100,70,0.9,100,2,913.621188447726
"51",2,100,70,0.9,100,2,176.210379249935
"52",2,100,70,0.9,100,2,1548.62109061514
"53",2,100,70,0.9,100,2,1231.72365920785
"54",2,100,70,0.9,100,2,1011.50466755692
"55",2,100,70,0.9,100,2,1112.54025840042
"56",2,100,70,0.9,100,2,1925.37292532968
"57",2,100,70,0.9,100,2,1629.87850878262
"58",2,100,70,0.9,100,2,640.340743675872
"59",2,100,70,0.9,100,2,1874.55597554466
"60",2,100,70,0.9,100,2,1487.1028687244
"61",2,100,70,0.9,100,2,279.210966924461
"62",2,100,70,0.9,100,2,560.479277392062
"63",2,100,70,0.9,100,2,613.814187580854
"64",2,100,70,0.9,100,2,1156.33721222143
"65",2,100,70,0.9,100,2,1820.00657284057
"66",2,100,70,0.9,100,2,879.209393514861
"67",2,100,70,0.9,100,2,1193.93279929933
"68",2,100,70,0.9,100,2,674.506885069314
"69",2,100,70,0.9,100,2,1096.60545483961
"70",2,100,70,0.9,100,2,1353.04763841424
