"","Cluster_Num","One","Neg_One"
"318","4",552,2965
"319","5",420,3229
"320","6",312,3397
"321","7",236,3458
"322","8",157,3636
"323","9",143,3703
"324","10",123,3778
"325","11",109,3864
"326","12",96,3976
"327","13",94,4055
"328","14",87,4144
"329","15",86,4197
"330","16",81,4241
"331","2",1102,1122
"332","3",709,2330
"333","4",954,3110
"334","5",293,3481
"335","6",189,3483
"336","7",191,3528
"337","8",153,3608
"338","9",101,3800
"339","10",87,3938
"340","11",85,3985
"341","12",80,4027
"342","13",72,4109
"343","14",60,4174
"344","15",60,4166
"345","16",56,4244
"346","2",1206,1196
"347","3",839,2326
"348","4",424,2701
"349","5",224,3154
"350","6",185,3230
"351","7",147,3324
"352","8",167,3621
"353","9",137,3680
"354","10",84,3841
"355","11",96,3938
"356","12",85,4052
"357","13",70,4100
"358","14",70,4132
"359","15",66,4217
"360","16",62,4255
"361","2",809,701
"362","3",448,2022
"363","4",206,2544
"364","5",204,2830
"365","6",185,3203
"366","7",128,3400
"367","8",138,3510
"368","9",95,3684
"369","10",87,3871
"370","11",92,3994
"371","12",76,4090
"372","13",65,4152
"373","14",66,4160
"374","15",53,4225
"375","16",52,4235
"376","2",581,505
"377","3",543,2151
"378","4",587,2880
"379","5",214,3133
"380","6",189,3200
"381","7",214,3433
"382","8",225,3633
"383","9",130,3820
"384","10",137,3892
"385","11",91,3951
"386","12",91,4112
"387","13",94,4167
"388","14",93,4202
"389","15",95,4279
"390","16",88,4364
"391","2",1302,1223
"392","3",462,1982
"393","4",844,3328
"394","5",218,3083
"395","6",102,3124
"396","7",112,3318
"397","8",105,3526
"398","9",90,3606
"399","10",63,3784
"400","11",72,3821
"401","12",50,3917
"402","13",51,3965
"403","14",49,4024
"404","15",46,4071
"405","16",45,4119
"406","2",1304,1230
"407","3",453,1954
"408","4",875,3369
"409","5",378,3294
"410","6",223,3306
"411","7",196,3528
"412","8",176,3639
"413","9",130,3760
"414","10",130,3979
"415","11",89,3974
"416","12",72,4022
"417","13",76,4112
"418","14",61,4150
"419","15",60,4239
"420","16",58,4290
"421","2",1018,973
"422","3",792,2301
"423","4",759,3141
"424","5",313,3348
"425","6",239,3368
"426","7",202,3598
"427","8",190,3741
"428","9",141,3730
"429","10",108,3940
"430","11",99,4018
"431","12",64,4029
"432","13",61,4134
"433","14",61,4189
"434","15",49,4240
"435","16",53,4275
"436","2",1289,1207
"437","3",958,2251
"438","4",763,3050
"439","5",379,3170
"440","6",249,3481
"441","7",176,3560
"442","8",174,3690
"443","9",160,3744
"444","10",135,3758
"445","11",130,3992
"446","12",121,4079
"447","13",92,4073
"448","14",94,4128
"449","15",86,4176
"450","16",76,4207
