"","p","n","n_resamples","prop_resample","runs","k","res"
"1",2,100,70,0.9,100,2,1654.56171504638
"2",2,100,70,0.9,100,2,141.051153350506
"3",2,100,70,0.9,100,2,560.543852156621
"4",2,100,70,0.9,100,2,1410.1188086089
"5",2,100,70,0.9,100,2,62.8807154198931
"6",2,100,70,0.9,100,2,971.882842607298
"7",2,100,70,0.9,100,2,1357.34491239951
"8",2,100,70,0.9,100,2,673.165265784025
"9",2,100,70,0.9,100,2,524.419046423974
"10",2,100,70,0.9,100,2,896.663043809265
"11",2,100,70,0.9,100,2,518.972416406303
"12",2,100,70,0.9,100,2,168.737323076391
"13",2,100,70,0.9,100,2,795.847269158855
"14",2,100,70,0.9,100,2,318.025291318794
"15",2,100,70,0.9,100,2,1260.36022129715
"16",2,100,70,0.9,100,2,281.172689732885
"17",2,100,70,0.9,100,2,1867.25400894034
"18",2,100,70,0.9,100,2,1220.81861514807
"19",2,100,70,0.9,100,2,719.810689860246
"20",2,100,70,0.9,100,2,1396.91880318291
"21",2,100,70,0.9,100,2,1601.60299517192
"22",2,100,70,0.9,100,2,581.5608799765
"23",2,100,70,0.9,100,2,1526.1195430776
"24",2,100,70,0.9,100,2,1035.14897176105
"25",2,100,70,0.9,100,2,1617.88756362137
"26",2,100,70,0.9,100,2,586.420368871238
"27",2,100,70,0.9,100,2,63.7587630144761
"28",2,100,70,0.9,100,2,654.538252035865
"29",2,100,70,0.9,100,2,1320.96397202405
"30",2,100,70,0.9,100,2,202.678145400765
"31",2,100,70,0.9,100,2,495.429708111526
"32",2,100,70,0.9,100,2,1088.29767823639
"33",2,100,70,0.9,100,2,441.197392746676
"34",2,100,70,0.9,100,2,500.20635533725
"35",2,100,70,0.9,100,2,965.066225909162
"36",2,100,70,0.9,100,2,408.48761835858
"37",2,100,70,0.9,100,2,182.830008424661
"38",2,100,70,0.9,100,2,1562.12943948339
"39",2,100,70,0.9,100,2,1142.29507203537
"40",2,100,70,0.9,100,2,1310.04444697084
"41",2,100,70,0.9,100,2,161.615688431715
"42",2,100,70,0.9,100,2,1060.31580989082
"43",2,100,70,0.9,100,2,836.499835931554
"44",2,100,70,0.9,100,2,421.265273884626
"45",2,100,70,0.9,100,2,338.306417391397
"46",2,100,70,0.9,100,2,1622.65051145319
"47",2,100,70,0.9,100,2,947.105385039694
"48",2,100,70,0.9,100,2,314.558566714195
"49",2,100,70,0.9,100,2,1559.1855519897
"50",2,100,70,0.9,100,2,1387.80427976082
"51",2,100,70,0.9,100,2,1094.00563080857
"52",2,100,70,0.9,100,2,872.673583408196
"53",2,100,70,0.9,100,2,204.560258067302
"54",2,100,70,0.9,100,2,836.165348972207
"55",2,100,70,0.9,100,2,1731.23179928239
"56",2,100,70,0.9,100,2,1365.944437043
"57",2,100,70,0.9,100,2,482.227164350214
"58",2,100,70,0.9,100,2,825.099291913045
"59",2,100,70,0.9,100,2,450.593100333679
"60",2,100,70,0.9,100,2,630.567608552999
"61",2,100,70,0.9,100,2,567.310130578931
"62",2,100,70,0.9,100,2,261.791102009832
"63",2,100,70,0.9,100,2,1416.09972427413
"64",2,100,70,0.9,100,2,828.335417445321
"65",2,100,70,0.9,100,2,110.208209298905
"66",2,100,70,0.9,100,2,1384.96543275308
"67",2,100,70,0.9,100,2,472.262931142826
"68",2,100,70,0.9,100,2,375.124343590911
"69",2,100,70,0.9,100,2,292.953219415624
"70",2,100,70,0.9,100,2,776.65618652771
"71",2,100,70,0.9,100,2,1139.92504155225
"72",2,100,70,0.9,100,2,1088.56011256432
"73",2,100,70,0.9,100,2,1411.33772841965
"74",2,100,70,0.9,100,2,1618.18221757311
"75",2,100,70,0.9,100,2,1851.57445882899
"76",2,100,70,0.9,100,2,1222.34502797189
"77",2,100,70,0.9,100,2,82.563868171724
"78",2,100,70,0.9,100,2,431.423385066161
"79",2,100,70,0.9,100,2,685.980144572091
"80",2,100,70,0.9,100,2,1089.00869332268
"81",2,100,70,0.9,100,2,1719.00877093051
"82",2,100,70,0.9,100,2,798.854634023621
"83",2,100,70,0.9,100,2,917.007905780651
"84",2,100,70,0.9,100,2,1405.21264356163
"85",2,100,70,0.9,100,2,1587.52454525073
"86",2,100,70,0.9,100,2,1514.22984573431
"87",2,100,70,0.9,100,2,1594.51956708762
"88",2,100,70,0.9,100,2,1378.81724474753
"89",2,100,70,0.9,100,2,1529.82271497359
"90",2,100,70,0.9,100,2,1372.31822126349
"91",2,100,70,0.9,100,2,1519.1776745858
"92",2,100,70,0.9,100,2,1681.49480075133
"93",2,100,70,0.9,100,2,239.806604549696
"94",2,100,70,0.9,100,2,1590.18033945504
"95",2,100,70,0.9,100,2,733.990493575322
"96",2,100,70,0.9,100,2,896.787088389673
"97",2,100,70,0.9,100,2,1295.75961452051
"98",2,100,70,0.9,100,2,102.860358329421
"99",2,100,70,0.9,100,2,1578.59653335531
"100",2,100,70,0.9,100,2,1456.24616878958
"101",2,100,70,0.9,100,3,487.900324411199
"102",2,100,70,0.9,100,3,824.276766568463
"103",2,100,70,0.9,100,3,948.716467253634
"104",2,100,70,0.9,100,3,321.577899324029
"105",2,100,70,0.9,100,3,1147.84534391841
"106",2,100,70,0.9,100,3,1311.8180088407
"107",2,100,70,0.9,100,3,750.086283596661
"108",2,100,70,0.9,100,3,441.921888958851
"109",2,100,70,0.9,100,3,1103.61148302488
"110",2,100,70,0.9,100,3,541.412082269035
"111",2,100,70,0.9,100,3,983.312234474463
